Dataset,Approach,nMAE_avg,nMAE_std,nMAE_many_avg,nMAE_many_std,nMAE_medium_avg,nMAE_medium_std,nMAE_few_avg,nMAE_few_std
BPIC20RFP,SMOGN,0.8830962241072811,0.001441808932833338,0.4429087981581379,0.008836447223717575,0.5663915187571822,0.010061892134206005,2.9206514454666275,0.020326863620169177
BPIC20RFP,Survival,1.321326248827628,0.025884230982126895,1.2264476966245685,0.032638234661256905,1.4689440386459354,0.04561654613371053,1.3831984237997408,0.021129516026095727
BPIC20RFP,Vanilla,0.8718268730722597,0.000649557659056624,0.36373592359109813,0.009846604861074798,0.6425883773055748,0.011756492366173345,2.985441218879251,0.014610211155560182
BPIC20TPD,BMSE,0.8784811753266236,0.016783206110864927,0.7136068880299036,0.01910896608284843,0.8873056980573601,0.04142272666958763,2.5338520059198886,0.08219233059742753
BPIC20TPD,CSW,0.762213042980342,0.006536045242033983,0.5014953643991844,0.007820476301422592,0.8536969292086759,0.01748654436399443,2.963112908188124,0.058203506681006906
BPIC20TPD,EAL,0.7637421515545414,0.004995471632429169,0.5034993570491979,0.006164038069574229,0.8547206215910224,0.01304287574361499,2.9624543060619355,0.04236926089741602
BPIC20TPD,SERA,3.3352404434962395,0.011450998023040492,4.093511639723006,0.012252945376259605,2.3016725620455754,0.012252897501145499,1.0597963127920345,0.0011421170322952583
BPIC20TPD,SMOGN,0.8122565256132932,0.0069747255553553,0.6198160915902609,0.006063510512884086,0.7863264149171402,0.020309538593596056,2.9391505018311133,0.05807536243188649
BPIC20TPD,Survival,1.1609607052926165,0.029194092252858322,1.0274347198279912,0.039234926992817686,1.3389812718465581,0.026031790187389492,1.5830609539846212,0.05689191414518245
BPIC20TPD,Vanilla,0.7576262044699222,0.011231785340120762,0.48805843867838117,0.02112261574070698,0.8604364919984704,0.012549756860645628,2.989044249997684,0.08591407964038504
BPIC_2017_W,BMSE,1.0059356229433396,0.01680278846030321,0.865457817354257,0.038331293737532995,0.5763494573995512,0.011615016095332529,3.279878584572623,0.04127931509232572
BPIC_2017_W,CSW,0.8877419328370995,0.005243815571745867,0.5087283810392756,0.011919133515917115,0.7723943420468599,0.018394179422454436,3.7464828300852724,0.031925623354256444
BPIC_2017_W,EAL,0.8878386550960627,0.0020160581735534063,0.5024390483310305,0.010350131381923823,0.7840381627240044,0.013340561932051832,3.7523961620076465,0.018334457014203352
BPIC_2017_W,SERA,3.8770274105506375,0.1331765354215872,4.680402711104518,0.17306858784367896,3.044592269580511,0.08548987763294719,1.1982878370785324,0.0314957163036184
BPIC_2017_W,SMOGN,0.8801262625446326,0.00443385667113165,0.5461276036989076,0.015812282959386418,0.7177598878561088,0.017026299234819277,3.5899505876486364,0.02487033773345229
BPIC_2017_W,Survival,1.5367774854647136,0.006854197257461826,1.5179906523047328,0.012829409589298653,1.441372768742849,0.024878180581503644,1.960031576835922,0.012565821291430971
