Dataset,Quantile,Method,AUC-Average,AUC-Std,PR-AUC-Average,PR-AUC-Std
Sepsis,0.95,Vanilla,0.6252251634826809,0.033710544748975425,0.08592979796520377,0.02283346598272489
BPIC20ID,0.9,BMSE,0.8464022648503853,0.0010843792408522322,0.2841517504845041,0.0011239056546918599
BPIC20ID,0.9,CSW,0.8514291212856003,0.0008252556132469403,0.29901919426730295,0.0055060173696754675
BPIC20ID,0.9,EAL,0.8509270144346127,0.0004373962959513704,0.30259229153642675,0.0010080979337559475
BPIC20ID,0.9,Quantile,0.8458665326345505,0.0004727289651539403,0.2841788490240169,0.000931161336971308
BPIC20ID,0.9,SERA,0.5036726319421923,0.07242663307741122,0.10527915717706156,0.011339317769232344
BPIC20ID,0.9,Vanilla,0.8515129394466443,0.0006941147849168474,0.29937461313753627,0.003984805299257027
BPIC20ID,0.95,BMSE,0.8487288527530371,0.0019260091208542693,0.15285151386613208,0.0016254530492246272
BPIC20ID,0.95,CSW,0.8605682059463652,0.002197538425727651,0.1777292978869061,0.00958801401526772
BPIC20ID,0.95,EAL,0.8619926623287026,0.0010349169948054707,0.18473166882636677,0.0019641512383232326
BPIC20ID,0.95,Quantile,0.8490035234204797,0.000815090599884755,0.15396134733373495,0.001480773347313261
BPIC20ID,0.95,SERA,0.49841248182583725,0.07322767352490263,0.05257872654079887,0.006189039567207027
BPIC20ID,0.95,Vanilla,0.861287103555062,0.0010626968382435886,0.17810885812483396,0.007265950777701268
BPIC20DD,0.9,BMSE,0.7005222961505535,0.0007127226867067072,0.16597256443652045,0.0006411764885459601
BPIC20DD,0.9,CSW,0.6927035151459948,0.000841393648984948,0.16102076294528586,0.0005890930327725692
BPIC20DD,0.9,EAL,0.6957769726033437,0.002060174114656416,0.1630586575519925,0.00042039595912942676
BPIC20DD,0.9,Quantile,0.6995835899130383,0.0020633561379941306,0.16508651134322555,0.0016336186755418036
BPIC20DD,0.9,SERA,0.5252836830811465,0.06401375997662666,0.12547847959420802,0.020329309461281763
BPIC20DD,0.9,Vanilla,0.6923406537077564,0.0005117397787407783,0.16082280926948928,0.00044696616358616087
BPIC20DD,0.95,BMSE,0.7068639481276147,0.0008766608487560227,0.08913332149664958,0.0005175537840630161
BPIC20DD,0.95,CSW,0.691122816189145,0.0011108046367673363,0.08571991996442288,0.0004684579680531087
BPIC20DD,0.95,EAL,0.698141533272916,0.003922923243729547,0.08852304246935785,0.000976569881150585
BPIC20DD,0.95,Quantile,0.7032752085330387,0.0032649946385759497,0.08890558419885017,0.0009074909674866639
BPIC20DD,0.95,SERA,0.5521541548373446,0.06573222007457055,0.06878924052373145,0.012538218359724788
BPIC20DD,0.95,Vanilla,0.6908130946837644,0.0007442075982357513,0.08548910142914565,0.0002916858058946623
BPIC20PTC,0.9,BMSE,0.8457848059729669,0.003599657028744335,0.2771702396639048,0.011586995875419889
BPIC20PTC,0.9,CSW,0.8420629391061226,0.0015422484158691156,0.2687545602575135,0.00420537409655552
BPIC20PTC,0.9,EAL,0.8379387689970287,0.0015339682171455755,0.2652093012309931,0.003174130628013262
BPIC20PTC,0.9,Quantile,0.8464444484400072,0.0043391644870127985,0.2817982252633059,0.01070690697153174
BPIC20PTC,0.9,SERA,0.8357480143300864,0.007558909397924322,0.2610959662447876,0.011872412890824932
BPIC20PTC,0.9,Vanilla,0.8409634600775837,0.00684935883256956,0.27897752609422616,0.013801021077094395
BPIC20PTC,0.95,BMSE,0.8535074721645994,0.004540609184153215,0.1566483758469109,0.008611240922770843
BPIC20PTC,0.95,CSW,0.8497569958934846,0.003476778460618272,0.15088228757490743,0.006178288201683188
