Dataset,Quantile,Execution_Level,Method,AUC-Average,AUC-Std,PR-AUC-Average,PR-AUC-Std
Sepsis,0.8,0.25,CSW,0.7561580496006727,0.017741458894698924,0.3339113759177736,0.017573604046884135
Sepsis,0.8,0.25,EAL,0.7248003362757462,0.03809242507633972,0.2798030022144088,0.04389568658363271
Sepsis,0.8,0.25,BMSE,0.6884825556956704,0.015097631796111498,0.22858848582093297,0.019559285208291016
Sepsis,0.8,0.25,SERA,0.6949558638083229,0.0020890750129952187,0.2716494068218612,0.0007196033624952698
Sepsis,0.8,0.5,Vanilla,0.7550651534258092,0.012013514272579897,0.3897705238161571,0.016618459320820504
Sepsis,0.8,0.5,CSW,0.7509037410676754,0.010560402039798607,0.4022897588816007,0.01798646960759261
Sepsis,0.8,0.5,EAL,0.7329129886506937,0.03714744852801882,0.37857110784143916,0.02115717836279586
Sepsis,0.8,0.5,BMSE,0.7218158890290038,0.029573720496816665,0.36742228206746896,0.032513504006743556
Sepsis,0.8,0.5,SERA,0.7334174022698612,0.00011511613230459816,0.3643183759483367,3.434751825544566e-05
Sepsis,0.8,0.75,Vanilla,0.723118957545187,0.008093136232589952,0.3373137771382675,0.008400982907459447
Sepsis,0.8,0.75,CSW,0.7116435477091215,0.011374576820289852,0.33850531525126215,0.0084053405737357
Sepsis,0.8,0.75,EAL,0.7118537200504413,0.017333803783535336,0.33278630590732816,0.01150858243376755
Sepsis,0.8,0.75,BMSE,0.7205548549810844,0.011459308422960054,0.3252394447966666,0.01746121682996296
Sepsis,0.8,0.75,SERA,0.7229928541403952,0.0,0.3270288818912471,0.0
Sepsis,0.9,0.25,Quantile,0.6014778325123153,0.013891955571822781,0.07396027192947704,0.027625570902502228
Sepsis,0.9,0.25,Vanilla,0.7489326765188833,0.013937975601255193,0.11303854413493963,0.03365728995252615
Sepsis,0.9,0.25,CSW,0.7446633825944171,0.009414897324449683,0.12092852692789806,0.009818525881367954
Sepsis,0.9,0.25,EAL,0.6768472906403941,0.03889061254566078,0.0741549750411076,0.02586663888167625
Sepsis,0.9,0.25,BMSE,0.6215106732348111,0.03795821430399613,0.07812070015906017,0.027291370952688236
